#List - Latest @ 2026-07-16 09:41 (UTC-07:00),,,,,
Identifier,Location,Location Folder,Location Type,Value,Status
3BNM066,CHUTE CREEK BELOW BRIDGE NEAR OKANAGAN LAKE,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNN004,MCKINNEY CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNN005,ROCK CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNN008,BAKER CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
ELL001,Ellis Creek near Mouth,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
ELL002,Ellis Creek u/s of Cantex Operations,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
KER001,Keremeos Creek at Old Hwy,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
MIS001,Mission Creek at Lakeshore Road Bridge,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
MW367,Monitoring Well 367 - Summerland,Locations.GROUNDWATER,Groundwater,Groundwater,Groundwater
OW047,OBS WELL 047 - Silver Star Mountain,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW053,OBS WELL 053 - Carrs Landing,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW054,OBS WELL 054 - Carrs Landing,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW057,OBS WELL 057 - Winfield,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW075,OBS WELL 075 - Keremeos,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW076,OBS WELL 076 - Keremeos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW077,OBS WELL 077 - Keremeos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW096,OBS WELL 096 - Osoyoos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW097,OBS WELL 097 - Osoyoos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW100,OBS WELL 100 - Osoyoos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW101,OBS WELL 101 - Osoyoos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW102,OBS WELL 102 - Osoyoos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
